text,label
   nằm   ngay     vào      chạy           hay   mua       lắm    mềm    chung     chiên      và   chà    nên   vừa   ăn   lắm   mà   có   thêm    và    nên   ăn_không   ngán   ăn   xong   hợp      no       có      rất   đông    ghé   mua     vừa   ngon   vừa   rẻ   lại   ăn   rất   no    đông   nhưng    làm   nhanh   lắm   mà   nói_chuyện     cũng   vui_vẻ   lịch_sự   nữa   nên    nào    ngang     ghé   mua   hoài     ,1
 tập_thể_dục   xong   qua   làm     mà   nhiều    luôn       ăn     được    ăn       sạch    đang   mừng   khai_trương   nên   khuyến_mãi    nữa    để   sạch_sẽ   gọn_gàng    lịch_sự    ,1
    mà    mới    được      gần    dẫn    ăn   thử   xem      để   đặt         gồm        mới   nhìn   vào    thấy   rộng_rãi   mát   hợp        còn   về    ăn_theo   như    chấm   nếu    cũng   đạt   nhiều    lạ   mà    gần    không   có      xông       cũng    và   ngon   nhìn     nhiều    quá    chỉ   thử   được     nhưng   đều   đạt   có    bạch   tuột   sống       bắt   vào      nhưng   ăn   ngon   thật   rất   tươi   và      thử   tới   xem      ,1
 có     đãi      ăn   căng    uống   thả    mà   chia   ra    có     ăn            chiên   giòn    luộc   thập_cẩm      chiên    chiên    xào         uống    nâu    thấy     mà   cứ   tưởng   ăn       mà       thấy   quá    rồi    sang_trọng   lịch_sự   nữa      so       có   đắt    nào     khác     chứ    ,1
Mới     không   lại    mà   đã   thấy     mở   thêm      chọn   rồi   Mới       phục_vụ   sẽ   đưa   cho        chọn   rồi   mới   tới   bước   bỏ    vào         phong_phú    hơn      hoàn_toàn   bằng    tự_nhiên   trông   thật   bắt_mắt   vừa    thôi   mà   đã   thèm   rồi                 la   toàn      thích     ít     còn   nói    thoải_mái     đầy    khổng_lồ    sáng_tạo   theo    thích   mà    tuyệt_vời   sẽ   giới_thiệu   cho        ,1
                                             so                                               ,1
                     được   chế_biến   hoàn_toàn      ăn      và    vừa   giòn   vừa   thơm   lại   cay_cay   hấp_dẫn   khó   quên     mà   ăn   vào    nắng_nóng    không   còn    ngon   bằng   đúng       vừa    mát   lại   cung_cấp   nhiều    rất   tốt   cho    ăn   vừa   ngon   lại   tốt   cho      thật   khó   tìm    thật     chọn       giới_thiệu   cho     vừa   quảng_bá   cho     vừa   đáp_ứng    ăn_uống    bổ_dưỡng              rất   đa_dạng        ép         ăn   vặt   không_thể   thiếu     trẻ   như      viên      lựa_chọn   thật   phong_phú   nhấn   khác     có    khá   rộng   sạch_sẽ   thoáng   mát   không   quá   ồn_ào   nhưng   cũng   không   quá     dưới     mang      và     và   phục_vụ      trẻ    cởi_mở   niềm_nở   tạo    thân_thiện    ,1
 có   gọi       và        riêng    ăn   có   sốt   hoặc    nên   ăn   trực_tiếp     chứ   dù   ngon   nhưng   đã   mang     sẽ    làm   giảm      chăm_sóc     nhẹ_nhàng   chu_đáo    có   gọi    lại   hỏi_han   xem    thấy    có   đóng_góp    không   Sẽ   ủng_hộ   tiếp    ,1
  tuyệt_vời   cùng   nhưng     để   thưởng_thức   ẩm_thực    đẹp    ,1
Thấy    rần_rần   nên    và    ghé   thử     phải   chờ   hơn       kịp   để   lại    để       và   phục_vụ   nhanh_nhẹn   sạch_sẽ   gọn_gàng   trang_trí     chính       cay      thấy   ngon   và   đỡ   ngán   hơn    vừa       thích   lắm    ,1
